frame,stimuli,sample,intencity
1,cPRC,c1-1,1.004814981
2,cPRC,c1-1,1.11852056
3,cPRC,c1-1,1.01097709
4,cPRC,c1-1,1.007015734
5,cPRC,c1-1,0.96950512
6,cPRC,c1-1,0.942509214
7,cPRC,c1-1,1.186548285
8,cPRC,c1-1,0.939477065
9,cPRC,c1-1,0.977183303
10,cPRC,c1-1,0.995718535
11,cPRC,c1-1,0.998603967
12,cPRC,c1-1,0.985106014
13,cPRC,c1-1,0.964614557
14,cPRC,c1-1,1.044819783
15,cPRC,c1-1,1.010585845
16,cPRC,c1-1,0.884018086
17,cPRC,c1-1,1.041151861
18,cPRC,c1-1,0.980997942
19,cPRC,c1-1,0.936053672
20,cPRC,c1-1,1.075532516
21,cPRC,c1-1,1.087367677
22,cPRC,c1-1,0.98124247
23,cPRC,c1-1,1.052987022
24,cPRC,c1-1,0.936933973
25,cPRC,c1-1,1.018948707
26,cPRC,c1-1,1.013715805
27,cPRC,c1-1,0.995669629
28,cPRC,c1-1,1.107467889
29,cPRC,c1-1,0.98246511
30,cPRC,c1-1,0.997185704
31,cPRC,c1-1,0.973759909
32,cPRC,c1-1,1.100914535
33,cPRC,c1-1,1.046727102
34,cPRC,c1-1,1.002467511
35,cPRC,c1-1,0.993028725
36,cPRC,c1-1,1.009998977
37,cPRC,c1-1,1.006086527
38,cPRC,c1-1,1.001440493
39,cPRC,c1-1,1.05870898
40,cPRC,c1-1,1.025404249
41,cPRC,c1-1,0.948524606
42,cPRC,c1-1,1.003298907
43,cPRC,c1-1,1.056410416
44,cPRC,c1-1,0.933412768
45,cPRC,c1-1,0.983100883
46,cPRC,c1-1,0.981780432
47,cPRC,c1-1,0.887392574
48,cPRC,c1-1,0.954980149
49,cPRC,c1-1,1.01958448
50,cPRC,c1-1,1.033326961
51,cPRC,c1-1,0.977525642
52,cPRC,c1-1,0.907248258
53,cPRC,c1-1,1.066387164
54,cPRC,c1-1,1.097491141
55,cPRC,c1-1,1.182684741
56,cPRC,c1-1,1.069468218
57,cPRC,c1-1,1.162437812
58,cPRC,c1-1,1.148499709
59,cPRC,c1-1,1.098860499
60,cPRC,c1-1,1.089421713
61,cPRC,c1-1,1.103115288
62,cPRC,c1-1,1.105364947
63,cPRC,c1-1,1.202882764
64,cPRC,c1-1,1.199752804
65,cPRC,c1-1,1.128986364
66,cPRC,c1-1,1.170751768
67,cPRC,c1-1,1.202051369
68,cPRC,c1-1,1.141652921
69,cPRC,c1-1,1.155346496
70,cPRC,c1-1,1.229683047
71,cPRC,c1-1,1.157889589
72,cPRC,c1-1,1.204349933
73,cPRC,c1-1,1.171778787
74,cPRC,c1-1,1.128790742
75,cPRC,c1-1,1.076168289
76,cPRC,c1-1,1.213642002
77,cPRC,c1-1,1.11147815
78,cPRC,c1-1,1.105267136
79,cPRC,c1-1,1.170702863
80,cPRC,c1-1,1.223080788
81,cPRC,c1-1,1.170311618
82,cPRC,c1-1,1.30265024
83,cPRC,c1-1,1.284163914
84,cPRC,c1-1,1.103702156
85,cPRC,c1-1,1.127176856
86,cPRC,c1-1,1.153145743
87,cPRC,c1-1,1.067120748
